timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z
4705406198065,-0.63442993,2.7051697,8.907166,-0.0107421875,-0.39523315,0.12173462,18.190002,5.0872803,-50.531006,
4705411233465,-0.52601624,2.6207123,9.101822,-0.03236389,-0.39227295,0.1257019,18.190002,5.0872803,-50.531006,
4705416268866,-0.37876892,2.6653748,9.140457,-0.04598999,-0.3713684,0.1335907,18.190002,5.0872803,-50.531006,
4705421304266,-0.26315308,2.739441,9.14798,-0.05583191,-0.33035278,0.14312744,17.977905,4.446411,-50.74005,
4705426339667,-0.066711426,2.8613281,9.090851,-0.066604614,-0.27201843,0.15022278,17.977905,4.446411,-50.74005,
4705431375067,0.05886841,2.9611511,9.061707,-0.08239746,-0.20796204,0.15299988,17.977905,4.446411,-50.74005,
4705436410467,0.2548828,3.0224304,9.052124,-0.10151672,-0.14916992,0.14805603,17.977905,4.446411,-50.74005,
4705441445868,0.40423584,3.0382233,9.056976,-0.12388611,-0.09512329,0.13586426,19.08722,5.555725,-51.01013,
4705446481268,0.55659485,3.0677185,9.064514,-0.13505554,-0.06352234,0.117614746,19.08722,5.555725,-51.01013,
4705451516669,0.73117065,3.1360474,9.061813,-0.13395691,-0.0541687,0.09472656,19.08722,5.555725,-51.01013,
4705456552069,0.80326843,3.120163,9.026474,-0.12121582,-0.06460571,0.06437683,19.08722,5.555725,-51.01013,
4705461587469,0.820755,3.0730286,8.886795,-0.101745605,-0.08598328,0.029678345,19.070435,4.1412354,-50.801086,
4705466622870,0.79797363,3.052353,8.723465,-0.08073425,-0.11427307,-0.0062561035,19.070435,4.1412354,-50.801086,
4705471658270,0.716629,2.9994354,8.611862,-0.05973816,-0.14755249,-0.045715332,19.070435,4.1412354,-50.801086,
4705476693671,0.61650085,2.9361572,8.479919,-0.05104065,-0.17152405,-0.08305359,19.070435,4.1412354,-50.801086,
4705481729071,0.49969482,2.8843231,8.456467,-0.05342102,-0.18746948,-0.11778259,19.007874,3.7597656,-50.74005,
4705486764471,0.46733093,2.8624725,8.575516,-0.06843567,-0.19488525,-0.14820862,19.007874,3.7597656,-50.74005,
4705491799872,0.47044373,2.8260803,8.722534,-0.09213257,-0.19056702,-0.17198181,19.007874,3.7597656,-50.74005,
4705496835272,0.4972992,2.7116394,8.822815,-0.12080383,-0.17045593,-0.18972778,19.007874,3.7597656,-50.74005,
4705501870672,0.5164032,2.6366577,8.848236,-0.1503601,-0.13168335,-0.20240784,18.556213,5.407715,-50.886536,
4705506906073,0.47373962,2.5932465,8.86557,-0.17874146,-0.08087158,-0.2111206,18.556213,5.407715,-50.886536,
4705511941473,0.40116882,2.5640717,8.848679,-0.20489502,-0.018814087,-0.21705627,18.556213,5.407715,-50.886536,
4705516976874,0.28829956,2.5197906,8.84581,-0.23008728,0.04963684,-0.21961975,18.556213,5.407715,-50.886536,
4705522012274,0.18623352,2.4901886,8.87471,-0.25401306,0.117004395,-0.21777344,17.134094,6.100464,-51.64337,
4705527047674,0.14480591,2.4735107,8.93837,-0.27700806,0.186203,-0.2066803,17.134094,6.100464,-51.64337,
4705532083075,0.118927,2.3979187,9.013687,-0.2955017,0.24861145,-0.18713379,17.134094,6.100464,-51.64337,
4705537118475,0.09379578,2.3681183,9.057907,-0.3032074,0.29603577,-0.16293335,17.134094,6.100464,-51.64337,
4705542153876,0.12852478,2.4542084,9.138794,-0.30007935,0.32929993,-0.13748169,16.946411,6.163025,-51.745605,
4705547189276,0.32237244,2.6209106,9.14856,-0.28320313,0.34518433,-0.11088562,16.946411,6.163025,-51.745605,
4705552224676,0.5812988,2.8124084,9.11525,-0.25398254,0.33969116,-0.08494568,16.946411,6.163025,-51.745605,
4705557260077,0.81851196,2.976181,8.939606,-0.21200562,0.31103516,-0.06297302,16.946411,6.163025,-51.745605,
4705562295477,0.9199524,3.1425781,8.694595,-0.16427612,0.25854492,-0.054519653,18.395996,6.968689,-50.331116,
4705567330878,0.8877716,3.1987915,8.577209,-0.1186676,0.19148254,-0.060928345,18.395996,6.968689,-50.331116,
4705572366278,0.7687988,3.3012085,8.399231,-0.07911682,0.11326599,-0.07923889,18.395996,6.968689,-50.331116,
4705577401678,0.66244507,3.3318481,8.288223,-0.050476074,0.03060913,-0.1000061,18.395996,6.968689,-50.331116,
4705582437079,0.5652313,3.3082428,8.235687,-0.037612915,-0.04673767,-0.11769104,18.492126,6.6986084,-51.49536,
4705587472479,0.3885193,3.2973022,8.329086,-0.037002563,-0.13150024,-0.13362122,18.492126,6.6986084,-51.49536,
4705592507879,0.12496948,3.197174,8.396179,-0.053344727,-0.20445251,-0.14701843,18.492126,6.6986084,-51.49536,
4705597543280,-0.12687683,3.0503235,8.694855,-0.0796814,-0.2687683,-0.1543274,18.492126,6.6986084,-51.49536,
4705602578680,-0.3033905,2.976059,8.92868,-0.11579895,-0.31707764,-0.15196228,18.492126,6.678772,-51.57776,
4705607614081,-0.31596375,2.949112,9.059967,-0.15808105,-0.34280396,-0.1375122,18.492126,6.678772,-51.57776,
4705612649481,-0.18725586,2.9794312,9.284363,-0.19869995,-0.3478241,-0.11364746,18.492126,6.678772,-51.57776,
4705617684881,0.028762817,3.053299,9.527451,-0.24923706,-0.33137512,-0.08163452,18.492126,6.678772,-51.57776,
4705622720282,0.22982788,3.2201233,9.705368,-0.2985382,-0.29748535,-0.05317688,18.492126,6.678772,-51.57776,
4705627755682,0.45700073,3.4045258,9.814377,-0.34754944,-0.25120544,-0.030548096,18.492126,6.678772,-51.57776,
4705632791083,0.668808,3.4696045,9.92215,-0.3895111,-0.19673157,-0.018218994,18.492126,6.678772,-51.57776,
4705637826483,0.8415375,3.5808868,10.033936,-0.42268372,-0.14178467,-0.019241333,19.856262,7.3623657,-51.24359,
4705642861883,0.7928467,3.623169,10.090347,-0.4468689,-0.09738159,-0.032791138,19.856262,7.3623657,-51.24359,
4705647897284,0.7591553,3.615448,10.074783,-0.4644165,-0.06121826,-0.061294556,19.856262,7.3623657,-51.24359,
4705652932684,0.6404877,3.527771,10.149704,-0.47052002,-0.039108276,-0.09068298,19.856262,7.3623657,-51.24359,
4705657968085,0.52612305,3.4278107,10.180145,-0.4654541,-0.031539917,-0.11985779,17.289734,6.5063477,-51.411438,
4705663003485,0.34588623,3.320877,10.187576,-0.44909668,-0.04273987,-0.14608765,17.289734,6.5063477,-51.411438,
4705668038885,0.13703918,3.2056274,10.144165,-0.42303467,-0.061035156,-0.16577148,17.289734,6.5063477,-51.411438,
4705673074286,-0.014556885,3.1459808,10.013229,-0.39727783,-0.08227539,-0.17504883,17.289734,6.5063477,-51.411438,
4705678109686,-0.11961365,3.1284943,10.017761,-0.3703308,-0.10227966,-0.17097473,17.304993,6.5063477,-51.379395,
4705683145087,-0.16397095,3.1666412,10.032684,-0.34680176,-0.11810303,-0.15698242,17.304993,6.5063477,-51.379395,
4705688180487,-0.072006226,3.1960602,10.02594,-0.32112122,-0.13070679,-0.13908386,17.304993,6.5063477,-51.379395,
4705693215887,0.03302002,3.2402344,9.965363,-0.29244995,-0.138443,-0.11723328,17.304993,6.5063477,-51.379395,
4705698251288,0.0973053,3.2376862,9.895142,-0.26055908,-0.14242554,-0.09625244,17.713928,6.6314697,-50.750732,
4705703286688,0.18348694,3.2068787,9.819687,-0.22592163,-0.14186096,-0.07673645,17.713928,6.6314697,-50.750732,
4705708322088,0.272583,3.198532,9.637421,-0.18536377,-0.13565063,-0.057266235,17.713928,6.6314697,-50.750732,
4705713357489,0.37516785,3.2574768,9.406204,-0.14428711,-0.123062134,-0.039978027,17.713928,6.6314697,-50.750732,
4705718392889,0.48336792,3.2697601,9.094681,-0.104385376,-0.10316467,-0.026062012,18.83545,8.395386,-50.907898,
4705723428290,0.53201294,3.322586,8.825867,-0.068878174,-0.08180237,-0.014526367,18.83545,8.395386,-50.907898,
4705728463690,0.5418701,3.3621063,8.620697,-0.04069519,-0.060806274,-0.005355835,18.83545,8.395386,-50.907898,
4705733499090,0.5208893,3.381134,8.508133,-0.016494751,-0.039993286,0.001739502,18.83545,8.395386,-50.907898,
4705738534491,0.48799133,3.3880463,8.464432,0.005065918,-0.02178955,0.007461548,18.739319,8.604431,-50.96283,
4705743569891,0.4699707,3.4145508,8.374649,0.029190063,-0.01222229,0.010696411,18.739319,8.604431,-50.96283,
4705748605292,0.55010986,3.5202637,8.212219,0.061798096,-0.0154418945,0.012878418,18.739319,8.604431,-50.96283,
4705753640692,0.69963074,3.658722,8.115845,0.104400635,-0.03337097,0.01689148,18.739319,8.604431,-50.96283,
4705758676092,0.848053,3.756485,8.097458,0.15242004,-0.064575195,0.016799927,17.887878,9.924316,-51.322937,
4705763711493,1.0136719,3.8368835,7.9806366,0.2078247,-0.1025238,0.008010864,17.887878,9.924316,-51.322937,
4705768746893,1.2587891,3.9231262,7.7191772,0.26768494,-0.13256836,-0.0077819824,17.887878,9.924316,-51.322937,
4705773782294,1.4982758,3.993744,7.430588,0.32466125,-0.15238953,-0.028839111,17.887878,9.924316,-51.322937,
4705778817694,1.6164398,4.080551,7.055893,0.37239075,-0.16842651,-0.059936523,17.289734,7.536316,-50.74005,
4705783853094,1.6086273,4.12442,6.7445984,0.41220093,-0.18292236,-0.10391235,17.289734,7.536316,-50.74005,
4705788888495,1.4972534,4.1529236,6.3927,0.43980408,-0.19277954,-0.15542603,17.289734,7.536316,-50.74005,
4705793923895,1.4192047,4.1217346,6.120056,0.44995117,-0.1947174,-0.2106781,17.289734,7.536316,-50.74005,
4705798959296,1.4315948,4.101074,6.1466827,0.43836975,-0.19277954,-0.25836182,17.411804,7.902527,-50.85907,
4705803994696,1.4242401,4.038162,6.147049,0.4041748,-0.19145203,-0.2979126,17.411804,7.902527,-50.85907,
4705809030096,1.333313,3.8829803,6.256653,0.35430908,-0.18334961,-0.33268738,17.411804,7.902527,-50.85907,
4705814065497,1.2476501,3.7831879,6.265045,0.29486084,-0.15740967,-0.36106873,17.411804,7.902527,-50.85907,
4705819100897,1.2619934,3.6760101,6.22435,0.23291016,-0.11845398,-0.3782196,17.875671,9.42688,-51.44348,
4705824136297,1.159256,3.6437378,6.2103424,0.15853882,-0.0652771,-0.38789368,17.875671,9.42688,-51.44348,
4705829171698,0.9007721,3.6240082,6.42749,0.08125305,-0.014511108,-0.38885498,17.875671,9.42688,-51.44348,
4705834207098,0.5868225,3.5750732,6.8047333,-0.0023498535,0.03186035,-0.38587952,17.875671,9.42688,-51.44348,
4705839242499,0.354599,3.5772095,7.208786,-0.086639404,0.06768799,-0.37854004,17.462158,8.7387085,-51.57776,
4705844277899,0.19578552,3.5421295,7.5160675,-0.16007996,0.097335815,-0.3667755,17.462158,8.7387085,-51.57776,
4705849313299,0.06513977,3.5131683,8.022461,-0.21365356,0.12095642,-0.3456726,17.462158,8.7387085,-51.57776,
4705854348700,0.13195801,3.5213776,8.546661,-0.25650024,0.13552856,-0.31367493,17.503357,8.612061,-51.53656,
4705859384100,0.41841125,3.5552979,9.04834,-0.27400208,0.12857056,-0.27973938,17.503357,8.612061,-51.53656,
4705864419501,0.704895,3.6335602,9.279327,-0.26060486,0.11109924,-0.24659729,17.503357,8.612061,-51.53656,
4705869454901,0.9036865,3.7467499,9.309326,-0.22076416,0.09275818,-0.22465515,17.503357,8.612061,-51.53656,
4705874490301,0.9711609,3.8964233,9.138184,-0.16279602,0.07762146,-0.21600342,17.544556,8.132935,-51.150513,
4705879525702,1.1462402,4.002899,8.845917,-0.101882935,0.06315613,-0.21833801,17.544556,8.132935,-51.150513,
4705884561102,1.3724365,4.039154,8.735764,-0.04006958,0.04171753,-0.22817993,17.544556,8.132935,-51.150513,
4705889596503,1.4666595,3.9923553,8.770645,0.0030975342,0.018295288,-0.2434082,17.544556,8.132935,-51.150513,
4705894631903,1.5136261,3.9378967,8.815704,0.032089233,0.0019683838,-0.2692566,17.289734,7.8796387,-50.405884,
4705899667303,1.3787537,3.84935,8.917664,0.047805786,-0.0025634766,-0.29994202,17.289734,7.8796387,-50.405884,
4705904702704,1.2299957,3.5648804,9.124527,0.055007935,0.0034637451,-0.33459473,17.289734,7.8796387,-50.405884,
4705909738104,1.0771484,3.3185577,9.257065,0.05647278,0.022842407,-0.36712646,17.289734,7.8796387,-50.405884,
4705914773504,0.8597412,3.190155,9.278412,0.05531311,0.06309509,-0.39074707,16.972351,8.407593,-50.405884,
4705919808905,0.62101746,3.1886444,9.248413,0.05455017,0.106933594,-0.39814758,16.972351,8.407593,-50.405884,
4705924844305,0.349411,3.2350006,9.195557,0.052856445,0.15093994,-0.39401245,16.972351,8.407593,-50.405884,
4705929879706,0.0018005371,3.2235107,9.172058,0.04701233,0.1907196,-0.38233948,16.972351,8.407593,-50.405884,
4705934915106,-0.60069275,3.1297913,9.025894,0.040985107,0.22084045,-0.36810303,16.148376,9.484863,-51.164246,
4705939950506,-0.8307648,3.148529,9.0807495,0.03387451,0.24246216,-0.34677124,16.148376,9.484863,-51.164246,
4705944985907,-0.5561676,3.2842255,9.496689,0.019378662,0.25222778,-0.30775452,16.148376,9.484863,-51.164246,
4705950021307,-0.20236206,3.494522,9.93251,-9.918213E-4,0.240448,-0.25793457,16.148376,9.484863,-51.164246,
4705955056708,-0.011886597,3.6431274,10.134689,-0.020553589,0.21388245,-0.21081543,15.916443,9.25293,-52.75116,
4705960092108,0.07417297,3.6459808,10.177948,-0.031295776,0.18704224,-0.17852783,15.916443,9.25293,-52.75116,
4705965127508,0.13619995,3.5592957,10.264923,-0.035095215,0.15736389,-0.16226196,15.916443,9.25293,-52.75116,
4705970162909,0.12931824,3.4902496,10.389725,-0.035232544,0.11331177,-0.15808105,15.916443,9.25293,-52.75116,
4705975198309,0.11526489,3.4739532,10.61763,-0.030090332,0.047470093,-0.16035461,16.171265,9.124756,-52.25067,
4705980233710,0.1298523,3.407318,10.994476,-0.022460938,-0.03630066,-0.16014099,16.171265,9.124756,-52.25067,
4705985269110,0.1387024,3.2780457,11.513824,-0.012954712,-0.1328888,-0.15548706,16.171265,9.124756,-52.25067,
4705990304510,0.13230896,3.1311035,12.069855,-1.0681152E-4,-0.22819519,-0.14828491,16.171265,9.124756,-52.25067,
4705995339911,0.12779236,2.975006,12.527466,0.016571045,-0.2992096,-0.13973999,16.668701,8.842468,-51.0849,
4706000375311,0.17788696,2.8632507,12.917282,0.036499023,-0.34057617,-0.12646484,16.668701,8.842468,-51.0849,
4706005410712,0.26649475,2.8117065,13.233826,0.05239868,-0.3461151,-0.10722351,16.668701,8.842468,-51.0849,
4706010446112,0.31729126,2.8841553,13.469955,0.063308716,-0.32408142,-0.08572388,16.668701,8.842468,-51.0849,
4706015481512,0.4728241,3.0854797,13.742523,0.07463074,-0.28556824,-0.06468201,16.775513,8.7387085,-50.572205,
4706020516913,0.63804626,3.2700043,13.993027,0.08743286,-0.23277283,-0.050964355,16.775513,8.7387085,-50.572205,
4706025552313,0.505188,3.3533478,14.036316,0.10508728,-0.17150879,-0.04812622,16.775513,8.7387085,-50.572205,
4706030587713,0.31498718,3.226654,13.804779,0.129776,-0.08528137,-0.057022095,16.775513,8.7387085,-50.572205,
4706035623114,0.24006653,2.961441,13.371384,0.15188599,0.022628784,-0.06752014,16.85028,8.963013,-50.645447,
4706040658514,0.02722168,2.671051,12.856995,0.15864563,0.15078735,-0.07122803,16.85028,8.963013,-50.645447,
4706045693915,-0.2850647,2.3148956,12.529907,0.14128113,0.28883362,-0.06982422,16.85028,8.963013,-50.645447,
4706050729315,-0.7176361,2.117096,12.213409,0.09635925,0.42697144,-0.06764221,16.85028,8.963013,-50.645447,
4706055764715,-1.1852112,1.9928131,11.98407,0.036239624,0.5533447,-0.061203003,17.100525,9.872437,-50.58899,
4706060800116,-1.6383972,1.9115448,11.954056,-0.044525146,0.6872101,-0.045455933,17.100525,9.872437,-50.58899,
4706065835516,-1.9332275,2.0013733,12.141052,-0.12789917,0.7921295,-0.02394104,17.100525,9.872437,-50.58899,
4706070870917,-2.1419678,2.1154022,12.431671,-0.20147705,0.865921,0.0059509277,17.100525,9.872437,-50.58899,
4706075906317,-2.321991,2.2743225,12.57132,-0.2539673,0.9079437,0.034500122,17.289734,10.627747,-50.405884,
4706080941717,-2.5272522,2.2663116,12.498093,-0.28175354,0.92697144,0.06173706,17.289734,10.627747,-50.405884,
4706085977118,-2.6927643,2.0661469,12.426865,-0.2879486,0.9220581,0.08605957,17.289734,10.627747,-50.405884,
4706091012518,-2.7767944,1.9445038,12.489975,-0.27589417,0.882843,0.119903564,17.289734,10.105896,-50.743103,
4706096047919,-2.8298645,1.8401794,12.56221,-0.2566986,0.8101349,0.15859985,17.289734,10.105896,-50.743103,
4706101083319,-2.7524872,1.8757629,12.817184,-0.22763062,0.7119751,0.2038269,17.289734,10.105896,-50.743103,
4706106118719,-2.5441284,1.8931732,13.19902,-0.18798828,0.597641,0.2566681,17.289734,10.105896,-50.743103,
4706111154120,-2.2698822,1.848587,13.3233185,-0.1353302,0.4811554,0.31181335,18.530273,9.063721,-50.21057,
4706116189520,-2.0371704,1.8889923,13.12796,-0.07040405,0.37983704,0.3646698,18.530273,9.063721,-50.21057,
4706121224921,-1.7444,1.9833069,12.756638,0.008865356,0.28204346,0.41870117,18.530273,9.063721,-50.21057,
4706126260321,-1.3209229,2.0254364,12.45546,0.07946777,0.2056427,0.4644165,18.530273,9.063721,-50.21057,
4706131295721,-0.9002991,2.1871796,12.221756,0.1337738,0.13664246,0.50749207,19.694519,8.566284,-49.40033,
4706136331122,-0.54875183,2.4218292,12.078766,0.16592407,0.07783508,0.5416565,19.694519,8.566284,-49.40033,
4706141366522,-0.22789001,2.6308746,11.875778,0.17662048,0.036392212,0.5616455,19.694519,8.566284,-49.40033,
4706146401922,0.025466919,2.7588654,11.603409,0.16889954,0.014602661,0.5663452,19.694519,8.566284,-49.40033,
4706151437323,0.1929779,2.838852,11.337158,0.13757324,0.011795044,0.5520477,19.79065,9.054565,-49.876404,
4706156472723,0.31414795,2.8429108,11.242004,0.091430664,0.02178955,0.5225067,19.79065,9.054565,-49.876404,
4706161508124,0.3197174,2.7690582,11.165344,0.031951904,0.036376953,0.48382568,19.79065,9.054565,-49.876404,
4706166543524,0.2102356,2.649994,11.2057495,-0.03250122,0.048706055,0.43959045,19.79065,9.054565,-49.876404,
4706171578924,0.06286621,2.4519806,11.3155365,-0.09310913,0.058166504,0.3922882,19.865417,9.225464,-50.62561,
4706176614325,-0.21183777,2.179657,11.537857,-0.14506531,0.06373596,0.3449402,19.865417,9.225464,-50.62561,
4706181649725,-0.52368164,1.9269409,11.723221,-0.18043518,0.06512451,0.29734802,19.865417,9.225464,-50.62561,
4706186685126,-0.8301239,1.662384,11.680237,-0.19030762,0.063705444,0.26411438,19.865417,9.225464,-50.62561,
4706191720526,-1.1725006,1.3956909,11.48465,-0.17489624,0.057907104,0.24694824,19.865417,9.082031,-50.907898,
4706196755926,-1.4066162,1.2044373,11.30278,-0.13761902,0.047073364,0.24502563,19.865417,9.082031,-50.907898,
4706201791327,-1.4745178,1.1087341,11.185501,-0.09013367,0.032348633,0.25953674,19.865417,9.082031,-50.907898,
4706206826727,-1.4617157,1.0319214,11.227005,-0.03767395,0.01109314,0.29058838,19.865417,9.082031,-50.907898,
4706211862128,-1.4484863,1.0240326,11.1489105,0.023117065,-0.014312744,0.33143616,19.429016,8.427429,-49.420166,
4706216897528,-1.4050293,1.0986481,10.728836,0.09303284,-0.03451538,0.37153625,19.429016,8.427429,-49.420166,
4706221932928,-1.1545715,1.2202759,10.137344,0.17224121,-0.049423218,0.41212463,19.429016,8.427429,-49.420166,
4706226968329,-0.9008179,1.4091034,9.504013,0.25135803,-0.063827515,0.45089722,19.429016,8.427429,-49.420166,
4706232003729,-0.69918823,1.6729584,8.821152,0.31651306,-0.08744812,0.4806366,20.173645,8.825684,-48.884583,
4706237039129,-0.34848022,1.8995056,8.128204,0.36746216,-0.11920166,0.4994812,20.173645,8.825684,-48.884583,
4706242074530,-0.07557678,2.0817413,7.5234222,0.3927002,-0.15156555,0.5055542,20.173645,8.825684,-48.884583,
4706247109930,0.28172302,2.3370667,7.0892944,0.39059448,-0.1862793,0.4948883,20.173645,8.825684,-48.884583,
4706252145331,0.639801,2.5385742,6.678299,0.3605652,-0.21990967,0.46687317,20.724487,9.25293,-49.064636,
4706257180731,0.82914734,2.6004944,6.3964233,0.2998352,-0.24386597,0.4188385,20.724487,9.25293,-49.064636,
4706262216131,0.74720764,2.6029816,6.270447,0.21636963,-0.24583435,0.3582611,20.724487,9.25293,-49.064636,
4706267251532,0.6226654,2.5180054,6.4059143,0.10038757,-0.22468567,0.27641296,20.724487,9.25293,-49.064636,
4706272286932,0.49461365,2.3992462,6.6858063,-0.0287323,-0.1885376,0.19055176,19.644165,8.174133,-50.115967,
4706277322333,0.36904907,2.1889038,7.033127,-0.15705872,-0.15026855,0.10974121,19.644165,8.174133,-50.115967,
4706282357733,0.17175293,1.9023132,7.2991486,-0.2722168,-0.111953735,0.032592773,19.644165,8.174133,-50.115967,
4706287393133,-0.018035889,1.7184448,7.4240417,-0.36740112,-0.07572937,-0.03514099,19.644165,8.174133,-50.115967,
4706292428534,-0.2533722,1.4839935,7.7816772,-0.433609,-0.047409058,-0.08938599,19.541931,7.58667,-50.216675,
4706297463934,-0.48927307,1.3153381,8.027206,-0.48846436,-0.022140503,-0.13760376,19.541931,7.58667,-50.216675,
4706302499335,-0.6843109,1.0251007,8.561157,-0.51452637,-0.014282227,-0.17131042,19.541931,7.58667,-50.216675,
4706307534735,-0.87939453,0.7629547,8.823883,-0.51582336,-0.02116394,-0.19378662,19.541931,7.58667,-50.216675,
4706312570135,-1.2121277,0.43397522,8.911926,-0.4861145,-0.036254883,-0.20613098,19.694519,7.536316,-50.07019,
4706317605536,-1.6613159,0.1315155,8.781006,-0.4861145,-0.036254883,-0.20613098,19.694519,7.536316,-50.07019,
4706322640936,-1.8715973,-0.011199951,8.586029,-0.35542297,-0.061553955,-0.19403076,19.694519,7.536316,-50.07019,
4706327676337,-2.0245667,0.07397461,8.350952,-0.2752533,-0.06813049,-0.14448547,19.432068,8.584595,-50.837708,
4706332711737,-2.0142517,0.33636475,7.9937744,-0.20462036,-0.085250854,-0.08248901,19.432068,8.584595,-50.837708,
4706337747137,-1.7023773,0.5211334,7.773651,-0.1408844,-0.1113739,-0.011749268,19.432068,8.584595,-50.837708,
4706342782538,-1.3504639,0.63752747,7.5855255,-0.08380127,-0.138031,0.058029175,19.432068,8.584595,-50.837708,
4706347817938,-0.9708252,0.8221741,7.6138916,-0.043762207,-0.16699219,0.115112305,19.615173,8.114624,-50.55847,
4706352853338,-0.6352234,0.99967957,7.5408325,-0.013244629,-0.19177246,0.15890503,19.615173,8.114624,-50.55847,
4706357888739,-0.19882202,1.2527924,7.418625,0.019210815,-0.20803833,0.19189453,19.615173,8.114624,-50.55847,
4706362924139,0.17164612,1.3480835,7.4111786,0.05293274,-0.21087646,0.2106018,19.615173,8.114624,-50.55847,
4706367959540,0.36865234,1.2216644,7.3559265,0.08331299,-0.20664978,0.21331787,19.694519,7.8796387,-50.405884,
4706372994940,0.3222046,1.1860657,7.1704407,0.11798096,-0.19662476,0.20106506,19.694519,7.8796387,-50.405884,
4706378030340,0.26945496,1.3320313,6.81514,0.15382385,-0.17738342,0.18475342,19.694519,7.8796387,-50.405884,
4706383065741,0.24154663,1.4862518,6.555435,0.18623352,-0.15089417,0.16967773,19.694519,7.8796387,-50.405884,
4706388101141,0.13108826,1.509613,6.4260254,0.21333313,-0.11885071,0.15931702,18.128967,8.874512,-49.71161,
4706393136542,-0.111694336,1.4503021,6.3379974,0.22756958,-0.093673706,0.14912415,18.128967,8.874512,-49.71161,
4706398171942,-0.33010864,1.3512878,6.2562714,0.23550415,-0.07258606,0.14012146,18.128967,8.874512,-49.71161,
4706403207342,-0.49137878,1.282608,6.188431,0.23947144,-0.051940918,0.13948059,18.128967,8.874512,-49.71161,
4706408242743,-0.62590027,1.2612152,6.166275,0.24107361,-0.03390503,0.1516571,19.667053,9.223938,-50.26703,
4706413278143,-0.7856903,1.2962494,6.1743927,0.23919678,-0.015686035,0.17599487,19.667053,9.223938,-50.26703,
4706418313544,-0.83729553,1.3740082,6.1044006,0.23625183,0.006515503,0.2118988,19.667053,9.223938,-50.26703,
